Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15 07:05:49+00:00,XYIKBN,120L,Strada Eschile,39,Sibiu,Romania
SB-25-SOM,2024-10-15 07:06:04+00:00,PKH6XW,120L,Strada Eschile,41,Sibiu,Romania
SB-25-SOM,2024-10-15 07:06:30+00:00,RW46BK,120L,Strada Eschile,43,Sibiu,Romania
SB-25-SOM,2024-10-15 07:07:15+00:00,FX3V,120L,Strada Eschile,36,Sibiu,Romania
SB-25-SOM,2024-10-15 07:07:55+00:00,LTVP5I,120L,Strada Eschile,49,Sibiu,Romania
SB-25-SOM,2024-10-15 07:08:11+00:00,H2JM,120L,Strada Eschile,40,Sibiu,Romania
SB-25-SOM,2024-10-15 07:09:00+00:00,XJTO,120L,Strada Traian Demetrescu,142,Sibiu,Romania
SB-25-SOM,2024-10-15 07:09:32+00:00,BLI4,120L,Strada Florilor,38,Sibiu,Romania
SB-25-SOM,2024-10-15 07:09:58+00:00,GVTV,120L,Strada Florilor,36 A,Sibiu,Romania
SB-25-SOM,2024-10-15 07:10:40+00:00,2F2D,120L,Strada Florilor,30,Sibiu,Romania
SB-25-SOM,2024-10-15 07:11:36+00:00,IRA5,120L,Strada Florilor,22,Sibiu,Romania
SB-25-SOM,2024-10-15 07:11:37+00:00,WKDH,120L,Strada Florilor,23,Sibiu,Romania
SB-25-SOM,2024-10-15 07:13:23+00:00,ZYZM,120L,Strada Florilor,15,Sibiu,Romania
SB-25-SOM,2024-10-15 07:13:33+00:00,ZMUL,120L,Strada Florilor,18,Sibiu,Romania
SB-25-SOM,2024-10-15 07:14:21+00:00,5FWEQY,120L,Strada Florilor,13,Sibiu,Romania
SB-25-SOM,2024-10-15 07:14:33+00:00,4UZG,120L,Strada Florilor,11,Sibiu,Romania
SB-25-SOM,2024-10-15 07:15:11+00:00,B6P3GH,120L,Strada Florilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15 07:15:31+00:00,KGBR,120L,Strada Florilor,10,Sibiu,Romania
SB-25-SOM,2024-10-15 07:15:55+00:00,WAP3,120L,Strada Florilor,3,Sibiu,Romania
SB-25-SOM,2024-10-15 07:17:13+00:00,ISKIQT,120L,Strada Țiglarilor,67,Sibiu,Romania
SB-25-SOM,2024-10-15 07:17:47+00:00,H5JO,120L,Strada Țiglarilor,52,Sibiu,Romania
SB-25-SOM,2024-10-15 07:19:04+00:00,RSVP,120L,Strada Crizantemelor,7,Sibiu,Romania
SB-25-SOM,2024-10-15 07:19:07+00:00,PBLT,120L,Strada Crizantemelor,8,Sibiu,Romania
SB-25-SOM,2024-10-15 07:19:36+00:00,BGLZ,120L,Strada Crizantemelor,10,Sibiu,Romania
SB-25-SOM,2024-10-15 07:19:48+00:00,PKMB,120L,Strada Crizantemelor,13,Sibiu,Romania
SB-25-SOM,2024-10-15 07:20:16+00:00,WUKQ,120L,Strada Crizantemelor,12,Sibiu,Romania
SB-25-SOM,2024-10-15 07:21:00+00:00,QLZATW,120L,Strada Crizantemelor,16,Sibiu,Romania
